SubscriberCode,Gender,ElderlySubscriber,HasPartner,HasDependents,SubscriptionLengthMonths,HasPhoneService,HasMultipleLines,InternetServiceType,OnlineSecurityEnabled,OnlineBackupEnabled,DeviceProtectionEnabled,TechSupportEnabled,StreamingTVService,StreamingMoviesService,SubscriptionPlan,UsesPaperlessBilling,PaymentMethodUsed,MonthlyPaymentUGX,TotalPaymentUGX,DroppedService,District,MobileMoneySubscription,RuralSubscriber
7037-MTYVW,Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,307440.0,11869200.0,No,Jinja,No,Yes
4760-THGOT,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,338760.0,14786280.0,No,Wakiso,Yes,No
7295-JOMMD,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,353160.0,1426680.0,Yes,Jinja,Yes,Yes
4016-BJKTZ,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Mobile Money,392040.0,10112580.0,No,Fort Portal,Yes,Yes
6584-VQMYT,Male,0,No,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,6 Months Contract,No,Cash Payment at Agent,202320.0,5643180.0,Yes,Gulu,No,Yes
9838-BFCQT,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,93960.0,6665220.0,No,Fort Portal,No,Yes
2790-XUYMV,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,6 Months Contract,Yes,Card Payment,307620.0,21704220.0,Yes,Arua,Yes,Yes
0581-MDMPW,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Pay As You Go,Yes,Card Payment,320220.0,7461900.0,Yes,Arua,Yes,Yes
5013-SBUIH,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,12 Months Contract,Yes,Mobile Money,394740.0,19984140.0,Yes,Arua,Yes,Yes
1023-BQXZE,Male,0,No,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,267660.0,15542460.0,No,Jinja,Yes,Yes
9163-GHAYE,Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,175860.0,2652480.0,No,Mbarara,Yes,Yes
3904-UKFRE,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,288360.0,1210140.0,Yes,Arua,Yes,Yes
5353-WILCI,Female,0,No,No,28,Yes,No,DSL,Yes,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,201780.0,5481540.0,No,Fort Portal,No,Yes
0709-TVGUR,Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,268380.0,2242440.0,Yes,Arua,Yes,Yes
0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Pay As You Go,Yes,Bank Standing Order,323280.0,17854560.0,No,Fort Portal,No,Yes
6023-YEBUP,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,363420.0,1187820.0,Yes,Kampala,No,No
7209-JCUDS,Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,341640.0,3775860.0,Yes,Fort Portal,Yes,Yes
7009-PCARS,Male,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Bank Standing Order,68760.0,3605400.0,No,Wakiso,Yes,No
0519-DRGTI,Female,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73260.0,1593360.0,No,Kampala,Yes,No
1017-FBQMM,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,6 Months Contract,Yes,Card Payment,381780.0,24132600.0,No,Mbarara,Yes,Yes
3001-CBHLQ,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,377640.0,12065580.0,Yes,Kampala,No,No
1985-MBRYP,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,70740.0,2805300.0,No,Fort Portal,Yes,Yes
6158-DWPZT,Male,0,Yes,No,9,No,No phone service,DSL,No,No,No,No,No,No,6 Months Contract,No,Bank Standing Order,86760.0,935280.0,Yes,Arua,Yes,Yes
9372-TXXPS,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,12 Months Contract,No,Bank Standing Order,215460.0,12540420.0,Yes,Arua,Yes,Yes
3259-QMXUN,Male,0,Yes,No,58,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,12 Months Contract,Yes,Mobile Money,309960.0,17605800.0,No,Mukono,No,No
1015-JPFYW,Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,70020.0,492300.0,Yes,Gulu,No,Yes
6645-MXQJT,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Pay As You Go,No,Mobile Money,349560.0,662940.0,No,Mukono,Yes,No
4360-QRAVE,Male,1,No,No,37,No,No phone service,DSL,No,Yes,Yes,No,No,No,Pay As You Go,No,Mobile Money,131940.0,4734000.0,No,Wakiso,Yes,No
8433-WPJTV,Female,1,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,6 Months Contract,Yes,Bank Standing Order,374040.0,24361560.0,No,Fort Portal,Yes,Yes
5804-JMYIO,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,71100.0,2728620.0,No,Fort Portal,Yes,Yes
3763-GCZHZ,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,6 Months Contract,Yes,Mobile Money,374580.0,24804000.0,Yes,Mbarara,Yes,Yes
6484-LATFU,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,88380.0,5966640.0,No,Jinja,Yes,Yes
7599-NTMDP,Female,0,Yes,Yes,62,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,12 Months Contract,No,Bank Standing Order,175320.0,10830780.0,No,Wakiso,Yes,No
0772-GYEQQ,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Pay As You Go,Yes,Cash Payment at Agent,318060.0,943380.0,Yes,Kampala,Yes,No
0536-ACXIP,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,12 Months Contract,Yes,Mobile Money,394380.0,29394360.0,No,Kampala,Yes,No
0936-NQLJU,Female,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Card Payment,74340.0,3151980.0,No,Mukono,No,No
4831-EOBFE,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Pay As You Go,No,Card Payment,340740.0,9536940.0,Yes,Wakiso,No,No
1575-KRZZE,Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,198720.0,794340.0,No,Mukono,No,No
3251-YMVWZ,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Bank Standing Order,86580.0,4686840.0,No,Kampala,Yes,No
4102-OQUPX,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,267840.0,267840.0,Yes,Mukono,Yes,No
9170-GYZJC,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Pay As You Go,No,Card Payment,287640.0,11974320.0,Yes,Wakiso,Yes,No
4884-LEVMQ,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,73620.0,2844000.0,No,Mbarara,No,Yes
8857-CUPFQ,Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,69300.0,4455540.0,No,Arua,Yes,Yes
7610-TVOPG,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Mobile Money,94860.0,1362960.0,No,Mukono,Yes,No
3638-DIMPH,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No,6 Months Contract,No,Mobile Money,157680.0,2133540.0,No,Fort Portal,Yes,Yes
1845-ZLLIG,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,180540.0,180540.0,No,Kampala,Yes,No
8559-WNQZS,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,73620.0,73620.0,No,Fort Portal,No,Yes
3999-QGRJH,Male,1,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,250920.0,2019060.0,Yes,Arua,Yes,Yes
1699-UOTXU,Male,0,No,No,60,Yes,No,DSL,Yes,Yes,Yes,No,No,No,12 Months Contract,No,Mobile Money,221040.0,13097700.0,No,Mukono,No,No
2454-RPBRZ,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Pay As You Go,Yes,Mobile Money,353160.0,3816720.0,Yes,Fort Portal,Yes,Yes
0635-WKOLD,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,6 Months Contract,No,Card Payment,254700.0,10518300.0,No,Gulu,Yes,Yes
5993-JSUWV,Female,0,No,No,66,Yes,No,DSL,Yes,Yes,Yes,No,No,No,12 Months Contract,Yes,Bank Standing Order,220140.0,14462820.0,No,Kampala,No,No
4518-FZBSX,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,72900.0,3077640.0,No,Mukono,No,No
5387-ASZNZ,Female,1,No,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,6 Months Contract,Yes,Card Payment,229860.0,15027660.0,No,Mbarara,No,Yes
6988-CJEYV,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,No,Mobile Money,355320.0,17713980.0,No,Gulu,No,Yes
2002-MZHWP,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73800.0,73800.0,Yes,Wakiso,Yes,No
3097-FQTVJ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,72000.0,2917080.0,No,Kampala,Yes,No
5465-BUBFA,Female,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,69480.0,2780640.0,No,Wakiso,Yes,No
7299-GNVPL,Female,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Pay As You Go,No,Cash Payment at Agent,303840.0,6972660.0,No,Jinja,Yes,Yes
9743-DQKQW,Male,0,No,No,3,No,No phone service,DSL,No,No,No,No,No,No,Pay As You Go,No,Mobile Money,90360.0,287280.0,No,Mukono,No,No
1215-VFYVK,Female,0,No,No,4,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Pay As You Go,No,Cash Payment at Agent,173700.0,728100.0,No,Wakiso,Yes,No
9371-BITHB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,71460.0,3853800.0,No,Mukono,Yes,No
2265-CYWIV,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,358560.0,1251540.0,Yes,Gulu,Yes,Yes
9093-FPDLG,Female,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Pay As You Go,Yes,Mobile Money,339120.0,3599640.0,No,Jinja,Yes,Yes
0541-FITGH,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Pay As You Go,Yes,Cash Payment at Agent,223740.0,407160.0,No,Fort Portal,Yes,Yes
6985-HAYWX,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Pay As You Go,No,Bank Standing Order,285480.0,7256880.0,No,Wakiso,Yes,No
7508-KBIMB,Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,Yes,No,No,No,6 Months Contract,Yes,Card Payment,202500.0,5235300.0,No,Mbarara,Yes,Yes
6838-HVLXG,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73080.0,888120.0,Yes,Arua,No,Yes
2277-DJJDL,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,356400.0,21664440.0,No,Kampala,Yes,No
1897-OKVMW,Female,0,Yes,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Cash Payment at Agent,326160.0,20942820.0,Yes,Wakiso,No,No
5485-ITNPC,Male,0,Yes,No,66,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,309240.0,20143080.0,Yes,Gulu,Yes,Yes
0233-FTHAV,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,6 Months Contract,Yes,Bank Standing Order,285120.0,17154000.0,No,Mukono,Yes,No
4644-PIZRT,Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,6 Months Contract,Yes,Bank Standing Order,253260.0,4325940.0,No,Gulu,No,Yes
8922-NPKBJ,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,69660.0,3122280.0,Yes,Arua,No,Yes
2740-TVLFN,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,180540.0,180540.0,No,Wakiso,Yes,No
7771-CFQRQ,Female,0,Yes,Yes,47,Yes,No,DSL,No,Yes,No,Yes,No,Yes,12 Months Contract,No,Bank Standing Order,229680.0,10826100.0,No,Mbarara,No,Yes
9512-PHSMG,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Cash Payment at Agent,73980.0,909900.0,Yes,Gulu,Yes,Yes
6963-EZQEE,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,318780.0,22703400.0,No,Fort Portal,Yes,Yes
2452-KDRRH,Male,1,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,365040.0,24627780.0,No,Fort Portal,Yes,Yes
2004-OCQXK,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,295020.0,295020.0,Yes,Mbarara,Yes,Yes
5027-QPKTE,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,249660.0,1623960.0,Yes,Arua,Yes,Yes
4146-SVFUD,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,160560.0,160560.0,No,Fort Portal,No,Yes
1564-HJUVY,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Pay As You Go,Yes,Bank Standing Order,229500.0,814320.0,No,Mbarara,Yes,Yes
3617-XLSGQ,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,12 Months Contract,No,Bank Standing Order,393300.0,25497000.0,Yes,Arua,Yes,Yes
7517-LDMPS,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,304560.0,3662460.0,No,Mbarara,Yes,Yes
7244-KXYZN,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Card Payment,73620.0,1898460.0,No,Jinja,No,Yes
5226-NOZFC,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,308700.0,7727400.0,Yes,Gulu,No,Yes
2672-HUYVI,Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,327960.0,1639080.0,Yes,Mbarara,Yes,Yes
1400-WIVLL,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,12 Months Contract,No,Mobile Money,388620.0,21491460.0,No,Jinja,Yes,Yes
7508-MYBOG,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,309960.0,4447980.0,Yes,Kampala,No,No
8148-NLEGT,Female,0,Yes,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Mobile Money,82620.0,3651300.0,No,Kampala,No,No
0148-DCDOS,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,340920.0,8503560.0,No,Fort Portal,Yes,Yes
8347-GDTMP,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Card Payment,70020.0,4412340.0,No,Fort Portal,No,Yes
9992-RRAMN,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,306360.0,6745320.0,Yes,Jinja,Yes,Yes
6746-WAUWT,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Card Payment,70920.0,1391400.0,Yes,Gulu,Yes,Yes
0310-MVLET,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,356940.0,21636180.0,Yes,Jinja,Yes,Yes
0428-IKYCP,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Pay As You Go,Yes,Bank Standing Order,313200.0,6662340.0,No,Wakiso,Yes,No
4550-VBOFE,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,370620.0,25565400.0,Yes,Arua,Yes,Yes
2187-PKZAY,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Bank Standing Order,287820.0,3756240.0,No,Mbarara,Yes,Yes
4003-OCTMP,Female,0,Yes,No,31,Yes,No,DSL,Yes,No,No,Yes,No,Yes,6 Months Contract,Yes,Mobile Money,230400.0,6878700.0,No,Gulu,No,Yes
6652-YFFJO,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,233640.0,2577960.0,No,Kampala,No,No
7225-IILWY,Male,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,92700.0,6070140.0,No,Mbarara,No,Yes
5248-RPYWW,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,324540.0,24179220.0,No,Fort Portal,Yes,Yes
7923-IYJWY,Male,1,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,417960.0,28223460.0,No,Mbarara,No,Yes
3170-GWYKC,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,377820.0,22452300.0,No,Jinja,No,Yes
5696-QURRL,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,162180.0,162180.0,Yes,Jinja,Yes,Yes
7409-KIUTL,Female,1,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,255600.0,255600.0,Yes,Mbarara,Yes,Yes
9830-ECLEN,Male,0,Yes,Yes,58,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,6 Months Contract,No,Cash Payment at Agent,180000.0,10511460.0,No,Fort Portal,Yes,Yes
1732-VHUBQ,Female,1,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Bank Standing Order,253980.0,11913300.0,Yes,Mbarara,Yes,Yes
0495-RVCBF,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,286920.0,286920.0,Yes,Kampala,Yes,No
2668-TZSPS,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73620.0,73620.0,No,Gulu,Yes,Yes
7854-EDSSA,Male,0,No,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,212400.0,4516920.0,Yes,Jinja,Yes,Yes
8869-TORSS,Female,0,No,No,48,Yes,No,DSL,Yes,No,Yes,Yes,No,No,6 Months Contract,Yes,Card Payment,217260.0,10427040.0,Yes,Fort Portal,Yes,Yes
7446-SFAOA,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Bank Standing Order,71460.0,2583000.0,No,Jinja,No,Yes
9522-ZSINC,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Mobile Money,71820.0,913680.0,No,Mbarara,No,Yes
8234-GSZYK,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,95220.0,3996180.0,Yes,Gulu,Yes,Yes
6505-OZNPG,Female,0,No,No,6,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Cash Payment at Agent,228240.0,1255680.0,No,Arua,Yes,Yes
6164-HAQTX,Male,0,No,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,12 Months Contract,No,Bank Standing Order,194220.0,13999140.0,Yes,Arua,Yes,Yes
0679-IDSTG,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,249300.0,249300.0,Yes,Mbarara,Yes,Yes
7765-LWVVH,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,12 Months Contract,Yes,Mobile Money,342360.0,24635340.0,No,Fort Portal,Yes,Yes
1658-TJVOA,Female,1,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,266760.0,1623240.0,No,Fort Portal,Yes,Yes
0953-LGOVU,Male,0,Yes,Yes,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,Pay As You Go,No,Cash Payment at Agent,127800.0,1556100.0,Yes,Jinja,No,Yes
2115-BFTIW,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,255420.0,6362460.0,Yes,Jinja,Yes,Yes
4692-NNQRU,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,6 Months Contract,No,Mobile Money,285120.0,6272820.0,No,Mbarara,Yes,Yes
7742-MYPGI,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,No,No,Pay As You Go,Yes,Cash Payment at Agent,175680.0,1070460.0,No,Mbarara,No,Yes
0611-DFXKO,Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Cash Payment at Agent,320400.0,6553620.0,Yes,Mukono,No,No
7780-OTDSO,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,357840.0,6274620.0,Yes,Gulu,Yes,Yes
9619-GSATL,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,No,No,6 Months Contract,No,Mobile Money,199620.0,8799300.0,No,Kampala,Yes,No
5622-UEJFI,Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Card Payment,91440.0,3419280.0,No,Kampala,Yes,No
9747-DDZOS,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,No,Bank Standing Order,264600.0,264600.0,Yes,Wakiso,Yes,No
0674-DGMAQ,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Pay As You Go,Yes,Mobile Money,336600.0,10694880.0,Yes,Arua,Yes,Yes
6203-HBZPA,Male,0,No,No,52,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Card Payment,230040.0,12005820.0,No,Wakiso,Yes,No
0484-FFVBJ,Male,0,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,6 Months Contract,Yes,Bank Standing Order,233460.0,7239420.0,No,Mukono,Yes,No
0301-FIDRB,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,229680.0,16863480.0,No,Wakiso,Yes,No
4139-JPIAM,Male,0,No,No,51,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Pay As You Go,Yes,Card Payment,160020.0,7853580.0,No,Wakiso,No,No
2181-TIDSV,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,71820.0,4691700.0,Yes,Gulu,No,Yes
2761-XECQW,Male,1,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Pay As You Go,Yes,Cash Payment at Agent,156060.0,1337040.0,No,Mbarara,No,Yes
1936-CZAKF,Male,0,Yes,No,49,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,12 Months Contract,No,Card Payment,178740.0,8675640.0,No,Mbarara,Yes,Yes
9453-PATOS,Female,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Cash Payment at Agent,306360.0,22159440.0,Yes,Gulu,Yes,Yes
